職缺名稱,職缺連結,公司名稱,地區,月薪,給薪方式
後端工程師(3D虛擬世界) Backend Developer (3D Virtual World),https://www.cakeresume.com/companies/viewsonic-international-corporation/jobs/backend-developer-3d-virtual-world,ViewSonic International Corporation,600K ~ 1M TWD / year,year,
車聯網平台 - 後端工程師 Backend Engineer,https://www.cakeresume.com/companies/3drens/jobs/internet-of-vehicles-platform-backend-engineer,三維人股份有限公司,730K ~ 1M TWD / year,year,
專案前端工程師 Jr. Front-end Engineer (Projects),https://www.cakeresume.com/companies/uppeta/jobs/front-end-engineer-projects,uppeta 以沛有限公司,38K ~ 45K TWD / month,month,
【新鮮人培訓計畫】前/後端工程師 #歡迎應屆畢業生,https://www.cakeresume.com/companies/hktv-hk-big5-global-home-htm-d36855/jobs/445d3b,Shoalter Technology Ltd.英屬維京群島商易貿創投有限公司台灣分公司,45K ~ 45K TWD / month,month,
後端工程師【AI產品】,https://www.cakeresume.com/companies/leadtek-cht/jobs/back-end-engineer-ai-product,麗臺科技股份有限公司,700K ~ 1M TWD / year,year,
React 前端工程師,https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/react-front-end-engineer-7244c2,雄獅集團＿雄獅資訊科技,40K ~ 60K TWD / month,month,
Backend 後端工程師,https://www.cakeresume.com/companies/google-4ed106/jobs/backend-backend-engineer-c08fbf,雲訊科技有限公司,55K ~ 120K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/clickforce/jobs/backend-engineer-ab2f48,域動行銷股份有限公司,50K ~ 90K TWD / month,month,
【台北】後端工程師 Backend Engineer (Junior),https://www.cakeresume.com/companies/pacston-zh-about_us/jobs/taipei-backend-engineer-junior,沛思坦網路股份有限公司,40K ~ 65K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/pro360-e255da/jobs/backend-engineer-06ab1f,達人網科技股份有限公司,50K ~ 70K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/sphere-meta/jobs/senior-backend-engineer-ace851,燦宇視界娛樂股份有限公司,900K ~ 1.1M TWD / year,year,
